@relation 'P1BotAgent-freq_1-1803_120855-training-weka.filters.unsupervised.attribute.Remove-R1-8,21-26,33-36,38-40'

@attribute nearestEnemyLeftDistance numeric
@attribute nearestEnemyLef_X numeric
@attribute nearestEnemyLeft_Y numeric
@attribute nearestEnemyRightDistance numeric
@attribute nearestEnemyRight_X numeric
@attribute nearestEnemyRight_Y numeric
@attribute nearestBlockLeftDistance numeric
@attribute nearestBlockLeft_X numeric
@attribute nearestBlockLeft_Y numeric
@attribute nearestBlockRightDistance numeric
@attribute nearestBlockRight_X numeric
@attribute nearestBlockRight_Y numeric
@attribute enemyNearRight {0,1}
@attribute blockNearRight {0,1}
@attribute enemyAheadOnFloorHeight {0,1}
@attribute blockAheadOnFloorHeight {0,1}
@attribute isMarioOnGround {0,1}
@attribute isMarioAbleToJump {0,1}
@attribute isSlopeDown {0,1}
@attribute actionKey {0,1,2,3}

@data
4.472,5,11,3.162,12,10,4,9,5,4.472,11,5,0,0,0,1,1,1,0,2
4.472,5,11,3.162,12,10,4,9,5,4.472,11,5,0,0,0,1,1,1,0,2
4.472,5,11,3.162,12,10,4,9,5,4.472,11,5,0,0,0,1,1,1,0,2
5.385,4,11,2.236,11,10,4.123,8,5,4.123,10,5,0,0,1,1,1,1,1,2
5.385,4,11,2.236,11,10,4.123,8,5,4.123,10,5,0,0,1,1,1,1,1,2
5.385,4,11,2.236,11,10,4.123,8,5,4.123,10,5,0,0,1,1,1,1,1,2
5.385,4,11,1.414,10,10,4,9,5,5,13,6,0,0,1,0,1,1,1,2
5.385,4,11,1.414,10,10,4,9,5,5,13,6,0,0,1,0,1,1,1,2
5.385,4,11,1.414,10,10,4,9,5,5,13,6,0,0,1,0,1,1,1,2
6.325,3,11,1.414,10,10,4.123,8,5,4.243,12,6,0,0,1,0,1,1,1,2
6.325,3,11,1.414,10,10,4.123,8,5,4.243,12,6,0,0,1,0,0,1,0,2
6.083,3,10,6.083,15,10,1,8,9,5,12,5,0,0,0,1,0,0,0,2
6.325,3,11,6.325,15,11,4.123,8,5,4.243,12,6,0,0,0,0,0,0,0,2
7.616,2,12,5.831,14,12,3.606,7,6,2.828,11,7,0,0,0,0,0,0,0,2
7.616,2,12,5.831,14,12,3.606,7,6,2.828,11,7,0,0,0,0,0,0,0,2
7.616,2,12,5.831,14,12,3.606,7,6,2.828,11,7,0,0,0,0,0,0,0,2
7.616,2,12,5.831,14,12,4.243,6,6,2.236,10,7,0,0,0,0,0,0,0,2
7.616,2,12,5.831,14,12,4.243,6,6,2.236,10,7,0,0,0,0,0,0,0,2
