@relation 'P1BotAgent-freq_1-1803_120855-training-weka.filters.unsupervised.attribute.Remove-R1-8,21-26,33-36,38-40-weka.filters.unsupervised.attribute.Remove-R1-3,7-9'

@attribute nearestEnemyRightDistance numeric
@attribute nearestEnemyRight_X numeric
@attribute nearestEnemyRight_Y numeric
@attribute nearestBlockRightDistance numeric
@attribute nearestBlockRight_X numeric
@attribute nearestBlockRight_Y numeric
@attribute enemyNearRight {0,1}
@attribute blockNearRight {0,1}
@attribute enemyAheadOnFloorHeight {0,1}
@attribute blockAheadOnFloorHeight {0,1}
@attribute isMarioOnGround {0,1}
@attribute isMarioAbleToJump {0,1}
@attribute isSlopeDown {0,1}
@attribute actionKey {0,1,2,3}

@data
4.123,13,10,4.123,10,5,0,0,0,1,1,0,0,2
4.123,13,10,4.123,10,5,0,0,0,1,1,1,0,2
4.123,13,10,4.123,10,5,0,0,0,1,1,1,0,2
3.162,12,10,4.472,11,5,0,0,0,1,1,1,0,2
3.162,12,10,4.472,11,5,0,0,0,1,1,1,0,2
3.162,12,10,4.472,11,5,0,0,0,1,1,1,0,2
3.162,12,10,4.472,11,5,0,0,0,1,1,1,0,2
2.236,11,10,4.123,10,5,0,0,1,1,1,1,1,2
2.236,11,10,4.123,10,5,0,0,1,1,1,1,1,2
2.236,11,10,4.123,10,5,0,0,1,1,1,1,1,2
1.414,10,10,5,13,6,0,0,1,0,1,1,1,2
1.414,10,10,5,13,6,0,0,1,0,1,1,1,2
1.414,10,10,5,13,6,0,0,1,0,1,1,1,2
1.414,10,10,4.243,12,6,0,0,1,0,1,1,1,2
1.414,10,10,4.243,12,6,0,0,1,0,0,1,0,2
6.083,15,10,5,12,5,0,0,0,1,0,0,0,2
6.325,15,11,4.243,12,6,0,0,0,0,0,0,0,2
5.831,14,12,2.828,11,7,0,0,0,0,0,0,0,2
5.831,14,12,2.828,11,7,0,0,0,0,0,0,0,2
5.831,14,12,2.828,11,7,0,0,0,0,0,0,0,2
5.831,14,12,2.236,10,7,0,0,0,0,0,0,0,2
5.831,14,12,2.236,10,7,0,0,0,0,0,0,0,2
5.385,14,11,3.162,10,6,0,0,0,0,0,0,0,2
4.472,13,11,6,15,9,0,0,0,0,0,0,0,2
